square_feet,bhk,pincode,price
1297,3,380008,7976922
1653,3,380006,8982855
1519,3,380008,6938280
3496,5,380009,19744656
2397,4,380002,19065964
1941,3,380001,11970673
3682,5,380006,23991496
3680,5,380006,22738880
2629,5,380005,14076695
2593,4,380007,19295858
1249,2,380008,10230943
1001,2,380013,6541005
1159,2,380006,7338665
2626,5,380001,10471478
750,2,380013,5306000
1506,3,380001,9436666
3928,5,380006,17577240
400,1,380008,3344800
1760,3,380015,8374320
601,1,380006,4594412
1274,2,380006,4964864
774,2,380008,3099990
1174,2,380002,8168400
1975,3,380005,8954875
579,1,380008,4085188
576,1,380008,3570688
2872,4,380009,23705168
2488,4,380006,17532088
2886,4,380013,22349892
623,1,380009,3705286
1822,3,380001,14318728
2785,5,380013,15236025
477,1,380005,3139189
1201,2,380001,6608361
1930,3,380006,12886550
2554,5,380009,21253830
1157,2,380005,6120457
1079,2,380001,3705266
2831,4,380001,21782048
1542,3,380013,10460020
3078,5,380005,21595650
795,2,380013,3957245
1551,3,380006,5567364
3409,5,380009,14531687
706,2,380009,4159788
2646,5,380005,12448968
1881,4,380002,10074520
3245,5,380002,26337490
2060,4,380007,9684740
625,1,380007,4380625
2392,4,380013,13143552
769,1,380005,5079320
439,1,380002,1640604
758,1,380015,3610158
1593,3,380006,6141513
3632,5,380002,25710336
2574,5,380008,14400450
2541,5,380006,8784640
716,2,380007,5971028
2841,5,380007,15485234
686,1,380008,5648636
967,2,380015,3890018
1100,2,380007,9046700
1257,2,380002,8046219
1804,3,380005,14699552
2593,4,380007,18632050
1611,3,380006,7323096
1906,3,380013,8830500
754,2,380013,6451162
3835,5,380001,19360475
2550,4,380006,13003100
2757,4,380002,9512821
1200,2,380015,6961600
528,1,380015,1965680
1715,3,380015,13142590
928,2,380005,6527472
1223,2,380005,6119828
2616,4,380001,9518664
710,1,380001,5255970
1875,3,380007,12205000
2873,5,380008,20403798
1588,3,380009,6089200
785,2,380009,5869605
2636,5,380005,12967356
1826,3,380002,12112844
2734,4,380005,21346798
1589,3,380009,7335198
1719,3,380002,6000470
3694,5,380013,28014932
1838,4,380013,13036906
3481,5,380015,21231889
415,1,380002,1593650
1269,3,380002,7550009
1858,3,380002,13272980
1138,3,380006,8767112
717,1,380007,5893431
671,1,380013,3531341
665,1,380015,4625950
2188,4,380001,15600880
1528,3,380013,8420424
1945,4,380007,7543295
472,1,380001,2080536
1986,4,380007,11014488
3438,5,380008,14165028
1161,3,380002,9753587
1683,3,380006,7196772
1592,3,380002,6707808
1205,2,380005,8698225
2553,5,380009,15734008
498,1,380006,2706674
460,1,380005,2889020
761,2,380001,2694522
1880,3,380013,8046960
728,1,380006,3851224
3790,5,380015,22684780
2720,4,380002,12665600
1220,2,380013,6093200
3918,5,380002,16625394
2774,4,380008,20220328
1153,2,380007,7834211
3295,5,380007,26401960
739,2,380005,4695555
1667,3,380013,12282310
3812,5,380008,28949532
1435,3,380013,8104465
458,1,380015,1889796
3868,5,380007,29890468
1521,3,380009,6098676
730,2,380009,5980330
1062,2,380007,7628942
1055,2,380002,4205340
2794,5,380002,18110898
1212,3,380015,6887568
1147,2,380013,9442190
1513,3,380009,12311353
623,1,380002,4519946
2371,4,380007,8639767
2715,4,380006,12439475
2530,4,380001,10720010
793,1,380008,4841336
819,2,380002,4804107
3215,5,380006,13154830
1480,3,380009,5171440
1132,3,380008,8602868
1558,3,380009,10986822
1129,2,380002,7595924
2922,4,380015,9827036
2656,5,380006,13869888
783,2,380008,5592990
1806,3,380001,12264118
2788,4,380007,23073632
1183,3,380008,6218806
786,1,380001,6234690
2733,4,380002,14430340
1931,3,380001,7932352
2291,4,380013,10057344
492,1,380007,2001348
1785,3,380002,13907540
2492,4,380013,18122308
1257,2,380015,7153021
781,1,380006,3979903
565,1,380015,2110540
1043,2,380013,4069942
3220,5,380013,23219200
1019,2,380002,4892391
1400,3,380015,7810200
791,1,380008,5628742
475,1,380015,3255575
2472,4,380013,19067064
1801,4,380001,11342248
476,1,380006,2124492
865,2,380009,3161985
842,2,380002,3034410
2116,4,380005,8539544
661,1,380015,3833470
769,1,380013,5644559
1017,2,380006,7788502
1482,3,380009,5814756
2007,4,380006,13827227
721,2,380005,6148784
2673,4,380002,14543182
2708,4,380015,12502328
846,2,380009,3661654
2484,4,380013,17831136
3194,5,380005,22338010
1248,2,380013,7918160
1742,3,380005,13070460
2592,5,380008,9768384
2661,4,380007,9273438
723,2,380006,5962753
2331,4,380013,11913672
1707,3,380015,8044011
3365,5,380006,19988125
994,2,380005,4817636
945,2,380005,3784905
3410,5,380001,21176740
1219,2,380006,9691487
1225,2,380002,4553150
3336,5,380008,21269472
717,1,380008,5640292
483,1,380002,3511162
778,1,380015,4271120
1865,4,380005,8779980
3972,5,380013,31138460
2100,4,380009,14275400
1109,3,380005,4674561
1060,2,380001,6091600
2944,4,380007,17750896
3727,5,380007,21016904
519,1,380013,3030357
2756,4,380006,20022468
1210,2,380007,5362030
700,2,380009,3330600
3582,5,380007,15426656
1305,3,380006,8150700
915,2,380002,7110480
884,2,380009,6014116
1950,4,380006,10549550
1074,2,380013,5935442
2628,5,380009,13701772
3875,5,380008,30576500
892,2,380009,5372808
1113,2,380002,8265537
425,1,380013,1733350
475,1,380013,3864000
2600,4,380001,16732400
2860,5,380002,11610580
560,1,380015,4708480
3084,5,380007,20283320
723,1,380002,4683079
1818,4,380008,12793354
1096,2,380015,4769600
3854,5,380001,17840418
612,1,380001,3971964
842,2,380007,6352212
2404,4,380015,11623760
623,1,380001,4158574
1721,3,380002,10927069
402,1,380007,3029730
1153,2,380007,5286081
411,1,380007,3310989
3474,5,380006,21313420
1442,3,380008,8675890
2690,4,380007,10032140
1435,3,380007,5999590
1882,3,380006,15497688
2969,5,380005,12816147
2993,5,380005,10343265
2469,4,380002,18342493
476,1,380006,2705212
749,1,380009,4918071
738,2,380009,4444942
697,1,380013,2445395
2995,4,380013,15030460
1258,2,380009,5899400
2849,4,380015,9522641
1283,2,380013,10556645
553,1,380007,4221185
1711,3,380009,11423103
545,1,380005,3541800
1280,2,380001,4866960
2472,4,380009,9939992
2918,5,380009,14355228
1289,2,380015,5408241
1362,3,380007,9834898
1653,3,380008,12264224
679,1,380005,3129639
987,2,380009,7528297
2852,5,380006,9821344
778,1,380008,4537216
2360,4,380002,13951040
1959,4,380007,12277257
766,2,380008,4637848
958,2,380008,6011492
2569,4,380008,11752008
1453,3,380009,11167583
2252,4,380015,17628312
